Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
20/10/18,Juventus,Genoa,1,1,D,1,0,H,,13,5,4,2,10,15,8,2,1,3,0,0,1819
20/10/18,Roma,Spal,0,2,A,0,1,A,,13,5,9,5,14,5,8,9,3,5,0,1,1819
20/10/18,Udinese,Napoli,0,3,A,0,1,A,,7,9,4,4,11,9,3,5,3,4,0,0,1819
21/10/18,Bologna,Torino,2,2,D,0,1,A,,6,12,3,8,9,21,3,4,2,2,0,0,1819
21/10/18,Chievo,Atalanta,1,5,A,0,2,A,,3,15,2,8,12,15,1,2,3,1,1,0,1819
21/10/18,Fiorentina,Cagliari,1,1,D,0,0,D,,7,8,3,5,13,19,6,7,0,2,0,0,1819
21/10/18,Frosinone,Empoli,3,3,D,1,1,D,,5,15,4,10,13,16,6,8,2,3,0,0,1819
21/10/18,Inter,Milan,1,0,H,0,0,D,,14,9,7,2,13,7,9,4,2,5,0,0,1819
21/10/18,Parma,Lazio,0,2,A,0,0,D,,3,15,1,9,5,11,2,8,2,3,0,0,1819
22/10/18,Sampdoria,Sassuolo,0,0,D,0,0,D,,7,7,2,2,10,18,4,3,2,3,0,0,1819
27/10/18,Atalanta,Parma,3,0,H,0,0,D,,21,9,14,5,6,8,6,6,0,2,0,0,1819
27/10/18,Empoli,Juventus,1,2,A,1,0,H,,6,12,4,7,13,17,6,10,2,3,0,0,1819
27/10/18,Torino,Fiorentina,1,1,D,1,1,D,,12,8,4,5,13,20,4,5,2,4,0,0,1819
28/10/18,Cagliari,Chievo,2,1,H,1,0,H,,12,12,4,5,16,15,8,2,1,6,0,0,1819
28/10/18,Genoa,Udinese,2,2,D,1,0,H,,11,11,5,8,17,18,4,8,5,4,1,0,1819
28/10/18,Milan,Sampdoria,3,2,H,2,2,D,,8,3,7,2,11,9,5,1,3,2,0,0,1819
28/10/18,Napoli,Roma,1,1,D,0,1,A,,18,7,6,5,7,6,17,3,0,5,0,0,1819
28/10/18,Sassuolo,Bologna,2,2,D,1,1,D,,11,10,6,6,20,19,9,5,2,3,0,0,1819
28/10/18,Spal,Frosinone,0,3,A,0,1,A,,10,5,5,4,15,11,9,1,3,6,0,0,1819
29/10/18,Lazio,Inter,0,3,A,0,2,A,,11,13,4,7,14,10,7,6,3,3,0,0,1819
